Colonia,Lon,Lat,Id
"JARDINES DEL SOL (37235)",-101.635563307301,21.1276250330689,1
"LA PIRAMIDE (37235)",-101.643148774896,21.1363961497626,2
"LEON I (37235)",-101.641335898133,21.1433536540479,3
"LEON I AMPL (37235)",-101.637667067981,21.1411452473553,4
"LOS ANGELES NORTE (37235)",-101.636853364991,21.1368715358927,5
"SAN MIGUEL DE RENTERIA NORTE (37235)",-101.642380332986,21.1267128327311,6
"CONJUNTO HAB SAN MIGUEL RUSTICO (37235)",-101.63207241521,21.1365932982422,7
"HACIENDA SAN MIGUEL (37235)",-101.633137115386,21.1311007823753,8
"SAN JUAN DE DIOS (37004)",-101.678181360681,21.1168131532045,9
"LEON CENTRO (37000)",-101.681060431394,21.1202021341213,10
"LUZ MARIA DIAZ INFANTE (37010)",-101.673461726677,21.1216080343833,11
"FRANCISCO LOZORNIO (37020)",-101.671583799253,21.1172310142,12
"TEPEYAC (37020)",-101.667857965573,21.1143498300806,13
"ACROPOLIS (37020)",-101.666937895268,21.1155020909488,14
"ANDRADE (37020)",-101.672470378805,21.1141086274113,15
"ECHEVESTE NORTE (37100)",-101.665836975796,21.1918830267803,16
"EL PALMAR (37100)",-101.674569911772,21.1720124630048,17
"FRACC PEDREGALES DE ECHEVESTE (37100)",-101.669738656614,21.189282726117,18
"HACIENDA ECHEVESTE (37100)",-101.66650748873,21.1808111843887,19
"HACIENDA ECHEVESTE PONIENTE (37100)",-101.673706054491,21.1712044023614,20
"JARDINES DE ECHEVESTE (37100)",-101.669558275094,21.1847563968902,21
"PEDREGALES DE ECHEVESTE (37100)",-101.667925649449,21.1896969979182,22
"PORTALES DE LA ARBOLEDA (37100)",-101.669316938426,21.1736765262507,23
"PRIVADA ECHEVESTE (37100)",-101.669696920876,21.1790002285778,24
"RINCONADA ECHEVESTE (37100)",-101.668184343033,21.1838211469284,25
"RIVERA DE LA PRESA (37100)",-101.673571197553,21.1773976816577,26
"SAN PEDRITO DE ECHEVESTE (37100)",-101.670904166294,21.1771229405713,27
"VILLAS DE ECHEVESTE (37100)",-101.665596069903,21.1826842221992,28
"CANTERITAS DE ECHEVESTE (37100)",-101.670137176789,21.1821640435358,29
"ECHEVESTE 2000 (37100)",-101.670515000867,21.1802554636188,30
"VALLE DE LOS CASTILLOS (37107)",-101.673802513075,21.1934072130725,31
"VALLE DE LOS CASTILLOS PONIENTE (37107)",-101.675782470385,21.1969235038167,32
"LAS TIRITAS IV (37107)",-101.674700030182,21.199483092171,33
"QUINTA LOS CASTILLOS (37107)",-101.671848137881,21.197625551478,34
"SAN NICOLAS DEL PALOTE (37108)",-101.675684665515,21.1848135937724,35
"SAN NICOLAS DEL PALOTE II (37108)",-101.675567335464,21.1867716687776,36
"VALLE HERMOSO I Y V (37108)",-101.677733090909,21.1873533970417,37
"VALLE HERMOSO II III Y IV (37108)",-101.673275366465,21.1835763244878,38
"NORTE DE VALLE HERMOSO (37108)",-101.672874061988,21.1922065291081,39
"PONIENTE DE VALLE HERMOSO (37108)",-101.676935501072,21.183430077636,40
"CIUDAD AURORA (37110)",-101.666257741601,21.1720532976216,41
"LAS AGUILAS (37118)",-101.663398027897,21.1699640933683,42
"CONJUNTO HAB HERNANDEZ ROUGON (37118)",-101.662297549093,21.170421268227,43
"JARDINES DEL VALLE (37118)",-101.663490891891,21.1680290293163,44
"EL PELUCHAN (37119)",-101.661255197969,21.1710039102023,45
"BOSQUES DEL REFUGIO (37123)",-101.71722142353,21.1563206962432,46
"PREDIO CERRO GORDO (37128)",-101.714134831557,21.1698258118118,47
"PUNTA CAMPESTRE (37128)",-101.694049879298,21.1632764432533,48
"REAL CAMPESTRE (37128)",-101.690547035217,21.1653402479541,49
"SEÑORA FRAUSTO (37128)",-101.697089705625,21.1687155411893,50
"CUMBRES DEL CAMPESTRE (37128)",-101.728939145525,21.1711680310798,51
"JARDINES DEL CAMPESTRE (37128)",-101.704303331434,21.1707007775189,52
"VILLAS DEL CAMPESTRE (37129)",-101.707338169221,21.1627425094593,53
"CERRO GORDO (37129)",-101.71854284058,21.160740731,54
"FRACC LAS ALAJITAS (37129)",-101.725638281082,21.1614233883787,55
"GRANJAS DEL ROSARIO (37130)",-101.683220638921,21.170869521811,56
