Id,Nombre,Lat,Lon
274,"1 Papeleria Maley",21.20352405,-101.6774889
275,"2 Caja Polular Alianza Peñitas",21.19840186,-101.6702628
276,"3 Presta facil Castillos",21.19906056,-101.6716388
277,"4 Bara Los Castillos",21.19113709,-101.6647808
278,"5 Papeleria Olvi",21.19342051,-101.6562089
279,"6 Abarrotes Yañez",21.18632827,-101.6665795
280,"7 Bara Pedregales",21.18778916,-101.6684173
281,"8 Telefonia Movistar",21.18750736,-101.67578
282,"9 Papeleria Angeles",21.18187414,-101.6656842
283,"10 Oxxo Rivera De La Presa",21.17751115,-101.6752816
284,"11 Bara Echeveste",21.17762343,-101.6671557
285,"12 Papeleria El Jardín",21.17740399,-101.6669127
286,"13 Presta facil Rivera De La Presa",21.17480627,-101.6746824
287,"14 Presta facil Echeveste",21.17718802,-101.6644299
288,"15 Oxxo Zoologico",21.17765163,-101.6525745
289,"16 Bara Brisas Del Lago",21.17278907,-101.6496448
290,"17 Presta facil Presitas",21.17238074,-101.6375907
291,"18 Oxxo Cuauhtemoc Bjx",21.1727859,-101.6604497
292,"19 Oxxo Hermenegildo Bustos",21.17228305,-101.66694
293,"20 Oxxo Balcones Bjx",21.17057089,-101.6979147
294,"21 Bara Roble",21.16670935,-101.7628508
295,"22 Bara Paseo De Las Torres",21.17021126,-101.7572078
296,"23 Bara Paseos Del Country",21.15608605,-101.7371801
297,"24 Minisuper",21.1488394,-101.757971
298,"25 Farmacia Xcare2",21.1546745,-101.7366616
299,"26 Bara Lomas Del Mirador",21.15239806,-101.7307076
300,"27 Oxxo Refugio",21.15295594,-101.728399
301,"28 Oxxo Altus Bjx",21.15185565,-101.717457
302,"29 Oxxo Universidad",21.15020928,-101.7086872
303,"30 Caja Popular Alianza Merced (Mar Egeo)",21.14335138,-101.7021256
304,"31 Bara Cervantes",21.14173915,-101.7023064
305,"32 Presta facil Piletas",21.13877843,-101.7027177
306,"33 Oxxo Austri",21.13709944,-101.701843
307,"34 Oxxo Miura",21.14618504,-101.7013254
308,"35 Oxxo Roca Bjx",21.14514968,-101.6976135
309,"36 Oxxo La Salle Bjx",21.15059296,-101.6960603
