Id,Nombre,Tipo,Lat,Lon
1,"IMSS T-1",HO,21.1391392907247,-101.686860147736
2,"IMSS T 51",HO,21.1409308560664,-101.689439099995
3,"IMSS T-21",HO,21.1083471570492,-101.688432193927
4,"IMSS T-53",HO,21.0965492602878,-101.636481006275
5,"IMSS PEDIATRIA",HO,21.140440929094,-101.688535116439
6,"IMSS 47",HO,21.1368630725182,-101.663358494413
7,"IMSS T-55",HO,21.1387144361398,-101.646630945551
8,"IMSS T-56",HO,21.1067200559245,-101.712778722022
9,"HOSPITAL REGIONAL DE ALTA ESPECIALIDAD DEL BAJIO",HO,21.0613964618893,-101.57681249392
10,UTL,ES,21.06243094496,-101.580731466513
11,"UNIVERSIDAD DE GUANAJUATO CAMPUS LEON",ES,21.0613338323493,-101.573107766129
12,"LA PUERTA DEL MILENIO",CT,21.0594052530729,-101.582308464777
13,"OUTLET MULZA",PL,21.0848035744899,-101.613737789707
14,"ESTACION DELTA",ET,21.0943992461817,-101.617336211828
15,ALTACIA,PL,21.0931914028346,-101.62518062454
16,"HOSPITAL MATERNO INFANTIL",HO,21.1227500588201,-101.71650070172
17,"CENTRO MAX",PL,21.0970837839274,-101.63396904212
18,"DEPORTIVA DEL ESTADO",DE,21.1045829133903,-101.638104943479
19,POLIFORUM,CT,21.1141733595914,-101.653468736526
20,"ESTADIO LEON",DE,21.1163154774314,-101.657171881416
21,EXPLORA,CT,21.1090361434082,-101.656379592567
22,"DOMO DE LA FERIA",CT,21.1157594134982,-101.655992512431
23,PALENQUE,CT,21.1134937283439,-101.656694797262
24,"PARQUE BICENTENARIO",CT,21.1111136243685,-101.66070817475
25,"PLAZA DEL ZAPATO",PL,21.1187326003682,-101.662597636252
26,"CENTRAL CAMIONERA",CA,21.1211347695322,-101.662089867144
27,"PLAZA PIEL",PL,21.1188942802487,-101.662808493433
28,"PUENTE DEL AMOR",CT,21.1175635554703,-101.667271228018
29,"ARCO DE LA CALZADA",CT,21.1189571343578,-101.672177173925
30,"TEMPLO EXPIATORIO",IG,21.1199679028524,-101.675047672345
31,"ZONA CENTRO",CT,21.1218485896376,-101.682525802376
32,"PRESIDENCIA MUNICIPAL",PL,21.1219127571537,-101.683165890087
33,"FUENTE DE LOS LEONES",PL,21.1229572883831,-101.683020962205
34,CATEDRAL,IG,21.1238116800107,-101.682078686312
35,"MERCADO ALDAMA",ME,21.1224173508085,-101.686356421555
36,"SANTUARIO DE GUADALUPE",IG,21.1254322695243,-101.687731729255
37,"SAN JUAN DE DIOS",IG,21.117583896862,-101.679880403019
38,"PLAZA DE LAS VIGAS",PL,21.1143991864827,-101.679598962628
39,"PANTEON SAN NICOLAS",PA,21.1129514009601,-101.677711323751
40,"CARRO VERDE",PL,21.1142176377835,-101.682622459161
41,"PLAZA DE TOROS LA LUZ",0,21.0993525047151,-101.694442792466
42,"DEPORTIVA DE SAN MIGUEL",DE,21.1042756753704,-101.704133889183
43,"LA PULGA",PL,21.0981453574156,-101.667552340263
44,"PARQUE DEL ARBOL",PL,21.1011780297494,-101.677053491224
45,"CENTRAL DE ABASTOS",ME,21.0736240591323,-101.682719873426
46,"UNAM CAMPUS LEON",ES,21.0426771186499,-101.673253039659
47,"ESTACION DE TREN",ET,21.091978977002,-101.687442089315
48,"HOSPITAL GENERAL REGIONAL",HO,21.1325935300223,-101.679822134952
49,"PARQUE HIDALGO",PL,21.1318249800565,-101.688144790213
50,"PARQUE CHAPALITA",PL,21.1264304706603,-101.6994840231
51,"DEPORTIVA DEL COECILLO",DE,21.1450267094222,-101.660591507638
52,"CRUZ ROJA",HO,21.1442508923128,-101.644290248822
53,"DEPORTIVA ENRIQUE GOMEZ GUERRA",DE,21.1435853652003,-101.642247220609
54,"PLAZA MAYOR",PL,21.1583244202372,-101.693635316969
55,"PLAZA PALMAS",PL,21.1552967980814,-101.687713291882
56,"PARQUE METROPOLITANO",CT,21.1728572354957,-101.686790284704
